"id","code","label","parentId","ontology","uri"
"urn:miriam:icd:A09.0","A09.0","Other and unspecified gastroenteritis and colitis of infectious origin","urn:miriam:icd:A09","ICD-10","http://identifiers.org/icd/A09.0"
"urn:miriam:icd:A09.9","A09.9","Gastroenteritis and colitis of unspecified origin","urn:miriam:icd:A09","ICD-10","http://identifiers.org/icd/A09.9"
"urn:miriam:icd:A15-A19","A15-A19","Tuberculosis","urn:miriam:icd:I","ICD-10",""
"urn:miriam:icd:A15","A15","Respiratory tuberculosis, bacteriologically and histologically confirmed","urn:miriam:icd:A15-A19","ICD-10","http://identifiers.org/icd/A15"
"urn:miriam:icd:A15.0","A15.0","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","urn:miriam:icd:A15","ICD-10","http://identifiers.org/icd/A15.0"
"urn:miriam:icd:A15.1","A15.1","Tuberculosis of lung, confirmed by culture only","urn:miriam:icd:A15","ICD-10","http://identifiers.org/icd/A15.1"
"urn:miriam:icd:A15.2","A15.2","Tuberculosis of lung, confirmed histologically","urn:miriam:icd:A15","ICD-10","http://identifiers.org/icd/A15.2"
"urn:miriam:icd:A15.3","A15.3","Tuberculosis of lung, confirmed by unspecified means","urn:miriam:icd:A15","ICD-10","http://identifiers.org/icd/A15.3"
"urn:miriam:icd:A15.4","A15.4","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","urn:miriam:icd:A15","ICD-10","http://identifiers.org/icd/A15.4"
"urn:miriam:icd:A15.5","A15.5","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","urn:miriam:icd:A15","ICD-10","http://identifiers.org/icd/A15.5"
"urn:miriam:icd:A15.6","A15.6","Tuberculous pleurisy, confirmed bacteriologically and histologically","urn:miriam:icd:A15","ICD-10","http://identifiers.org/icd/A15.6"
"urn:miriam:icd:A15.7","A15.7","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","urn:miriam:icd:A15","ICD-10","http://identifiers.org/icd/A15.7"
"urn:miriam:icd:A15.8","A15.8","Other respiratory tuberculosis, confirmed bacteriologically and histologically","urn:miriam:icd:A15","ICD-10","http://identifiers.org/icd/A15.8"
"urn:miriam:icd:A15.9","A15.9","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","urn:miriam:icd:A15","ICD-10","http://identifiers.org/icd/A15.9"
"urn:miriam:icd:A16","A16","Respiratory tuberculosis, not confirmed bacteriologically or histologically","urn:miriam:icd:A15-A19","ICD-10","http://identifiers.org/icd/A16"
"urn:miriam:icd:A16.0","A16.0","Tuberculosis of lung, bacteriologically and histologically negative","urn:miriam:icd:A16","ICD-10","http://identifiers.org/icd/A16.0"
"urn:miriam:icd:A16.1","A16.1","Tuberculosis of lung, bacteriological and histological examination not done","urn:miriam:icd:A16","ICD-10","http://identifiers.org/icd/A16.1"
"urn:miriam:icd:A16.2","A16.2","Tuberculosis of lung, without mention of bacteriological or histological confirmation","urn:miriam:icd:A16","ICD-10","http://identifiers.org/icd/A16.2"
"urn:miriam:icd:A16.3","A16.3","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","urn:miriam:icd:A16","ICD-10","http://identifiers.org/icd/A16.3"
"urn:miriam:icd:A16.4","A16.4","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","urn:miriam:icd:A16","ICD-10","http://identifiers.org/icd/A16.4"
"urn:miriam:icd:A16.5","A16.5","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","urn:miriam:icd:A16","ICD-10","http://identifiers.org/icd/A16.5"
"urn:miriam:icd:A16.7","A16.7","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation","urn:miriam:icd:A16","ICD-10","http://identifiers.org/icd/A16.7"
"urn:miriam:icd:A16.8","A16.8","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","urn:miriam:icd:A16","ICD-10","http://identifiers.org/icd/A16.8"
"urn:miriam:icd:A16.9","A16.9","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","urn:miriam:icd:A16","ICD-10","http://identifiers.org/icd/A16.9"
"urn:miriam:icd:A17","A17","Tuberculosis of nervous system","urn:miriam:icd:A15-A19","ICD-10","http://identifiers.org/icd/A17"
"urn:miriam:icd:A17.0","A17.0","G01","urn:miriam:icd:A17","ICD-10","http://identifiers.org/icd/A17.0"
"urn:miriam:icd:A17.1","A17.1","G07","urn:miriam:icd:A17","ICD-10","http://identifiers.org/icd/A17.1"
"urn:miriam:icd:A17.8","A17.8","Other tuberculosis of nervous system","urn:miriam:icd:A17","ICD-10","http://identifiers.org/icd/A17.8"
"urn:miriam:icd:A17.9","A17.9","G99.8","urn:miriam:icd:A17","ICD-10","http://identifiers.org/icd/A17.9"
"urn:miriam:icd:A18","A18","Tuberculosis of other organs","urn:miriam:icd:A15-A19","ICD-10","http://identifiers.org/icd/A18"
"urn:miriam:icd:A18.0","A18.0","Tuberculosis of bones and joints","urn:miriam:icd:A18","ICD-10","http://identifiers.org/icd/A18.0"
"urn:miriam:icd:A18.1","A18.1","Tuberculosis of genitourinary system","urn:miriam:icd:A18","ICD-10","http://identifiers.org/icd/A18.1"
"urn:miriam:icd:A18.2","A18.2","Tuberculous peripheral lymphadenopathy","urn:miriam:icd:A18","ICD-10","http://identifiers.org/icd/A18.2"
"urn:miriam:icd:A18.3","A18.3","Tuberculosis of intestines, peritoneum and mesenteric glands","urn:miriam:icd:A18","ICD-10","http://identifiers.org/icd/A18.3"
"urn:miriam:icd:A18.4","A18.4","Tuberculosis of skin and subcutaneous tissue","urn:miriam:icd:A18","ICD-10","http://identifiers.org/icd/A18.4"
"urn:miriam:icd:A18.5","A18.5","Tuberculosis of eye","urn:miriam:icd:A18","ICD-10","http://identifiers.org/icd/A18.5"
"urn:miriam:icd:A18.6","A18.6","Tuberculosis of ear","urn:miriam:icd:A18","ICD-10","http://identifiers.org/icd/A18.6"
"urn:miriam:icd:A18.7","A18.7","E35.1","urn:miriam:icd:A18","ICD-10","http://identifiers.org/icd/A18.7"
"urn:miriam:icd:A18.8","A18.8","Tuberculosis of other specified organs","urn:miriam:icd:A18","ICD-10","http://identifiers.org/icd/A18.8"
"urn:miriam:icd:A19","A19","Miliary tuberculosis","urn:miriam:icd:A15-A19","ICD-10","http://identifiers.org/icd/A19"
"urn:miriam:icd:A19.0","A19.0","Acute miliary tuberculosis of a single specified site","urn:miriam:icd:A19","ICD-10","http://identifiers.org/icd/A19.0"
"urn:miriam:icd:A19.1","A19.1","Acute miliary tuberculosis of multiple sites","urn:miriam:icd:A19","ICD-10","http://identifiers.org/icd/A19.1"
"urn:miriam:icd:A19.2","A19.2","Acute miliary tuberculosis, unspecified","urn:miriam:icd:A19","ICD-10","http://identifiers.org/icd/A19.2"
"urn:miriam:icd:A19.8","A19.8","Other miliary tuberculosis","urn:miriam:icd:A19","ICD-10","http://identifiers.org/icd/A19.8"
"urn:miriam:icd:A19.9","A19.9","Miliary tuberculosis, unspecified","urn:miriam:icd:A19","ICD-10","http://identifiers.org/icd/A19.9"
"urn:miriam:icd:A20-A28","A20-A28","Certain zoonotic bacterial diseases","urn:miriam:icd:I","ICD-10",""
"urn:miriam:icd:A20","A20","Plague","urn:miriam:icd:A20-A28","ICD-10","http://identifiers.org/icd/A20"
"urn:miriam:icd:A20.0","A20.0","Bubonic plague","urn:miriam:icd:A20","ICD-10","http://identifiers.org/icd/A20.0"
"urn:miriam:icd:A20.1","A20.1","Cellulocutaneous plague","urn:miriam:icd:A20","ICD-10","http://identifiers.org/icd/A20.1"
"urn:miriam:icd:A20.2","A20.2","Pneumonic plague","urn:miriam:icd:A20","ICD-10","http://identifiers.org/icd/A20.2"
"urn:miriam:icd:A20.3","A20.3","Plague meningitis","urn:miriam:icd:A20","ICD-10","http://identifiers.org/icd/A20.3"
"urn:miriam:icd:A20.7","A20.7","Septicaemic plague","urn:miriam:icd:A20","ICD-10","http://identifiers.org/icd/A20.7"
"urn:miriam:icd:A20.8","A20.8","Other forms of plague","urn:miriam:icd:A20","ICD-10","http://identifiers.org/icd/A20.8"
"urn:miriam:icd:A20.9","A20.9","Plague, unspecified","urn:miriam:icd:A20","ICD-10","http://identifiers.org/icd/A20.9"
"urn:miriam:icd:A21","A21","Tularaemia","urn:miriam:icd:A20-A28","ICD-10","http://identifiers.org/icd/A21"
"urn:miriam:icd:A21.0","A21.0","Ulceroglandular tularaemia","urn:miriam:icd:A21","ICD-10","http://identifiers.org/icd/A21.0"
"urn:miriam:icd:A21.1","A21.1","Oculoglandular tularaemia","urn:miriam:icd:A21","ICD-10","http://identifiers.org/icd/A21.1"
"urn:miriam:icd:A21.2","A21.2","Pulmonary tularaemia","urn:miriam:icd:A21","ICD-10","http://identifiers.org/icd/A21.2"
"urn:miriam:icd:A21.3","A21.3","Gastrointestinal tularaemia","urn:miriam:icd:A21","ICD-10","http://identifiers.org/icd/A21.3"
"urn:miriam:icd:A21.7","A21.7","Generalized tularaemia","urn:miriam:icd:A21","ICD-10","http://identifiers.org/icd/A21.7"
"urn:miriam:icd:A21.8","A21.8","Other forms of tularaemia","urn:miriam:icd:A21","ICD-10","http://identifiers.org/icd/A21.8"
"urn:miriam:icd:A21.9","A21.9","Tularaemia, unspecified","urn:miriam:icd:A21","ICD-10","http://identifiers.org/icd/A21.9"
"urn:miriam:icd:A22","A22","Anthrax","urn:miriam:icd:A20-A28","ICD-10","http://identifiers.org/icd/A22"
"urn:miriam:icd:A22.0","A22.0","Cutaneous anthrax","urn:miriam:icd:A22","ICD-10","http://identifiers.org/icd/A22.0"
"urn:miriam:icd:A22.1","A22.1","Pulmonary anthrax","urn:miriam:icd:A22","ICD-10","http://identifiers.org/icd/A22.1"
"urn:miriam:icd:A22.2","A22.2","Gastrointestinal anthrax","urn:miriam:icd:A22","ICD-10","http://identifiers.org/icd/A22.2"
"urn:miriam:icd:A22.7","A22.7","Anthrax sepsis","urn:miriam:icd:A22","ICD-10","http://identifiers.org/icd/A22.7"
"urn:miriam:icd:A22.8","A22.8","Other forms of anthrax","urn:miriam:icd:A22","ICD-10","http://identifiers.org/icd/A22.8"
"urn:miriam:icd:A22.9","A22.9","Anthrax, unspecified","urn:miriam:icd:A22","ICD-10","http://identifiers.org/icd/A22.9"
"urn:miriam:icd:A23","A23","Brucellosis","urn:miriam:icd:A20-A28","ICD-10","http://identifiers.org/icd/A23"
"urn:miriam:icd:A23.0","A23.0","Brucellosis due to Brucella melitensis","urn:miriam:icd:A23","ICD-10","http://identifiers.org/icd/A23.0"
"urn:miriam:icd:A23.1","A23.1","Brucellosis due to Brucella abortus","urn:miriam:icd:A23","ICD-10","http://identifiers.org/icd/A23.1"
"urn:miriam:icd:A23.2","A23.2","Brucellosis due to Brucella suis","urn:miriam:icd:A23","ICD-10","http://identifiers.org/icd/A23.2"
"urn:miriam:icd:A23.3","A23.3","Brucellosis due to Brucella canis","urn:miriam:icd:A23","ICD-10","http://identifiers.org/icd/A23.3"
"urn:miriam:icd:A23.8","A23.8","Other brucellosis","urn:miriam:icd:A23","ICD-10","http://identifiers.org/icd/A23.8"
"urn:miriam:icd:A23.9","A23.9","Brucellosis, unspecified","urn:miriam:icd:A23","ICD-10","http://identifiers.org/icd/A23.9"
"urn:miriam:icd:A24","A24","Glanders and melioidosis","urn:miriam:icd:A20-A28","ICD-10","http://identifiers.org/icd/A24"
"urn:miriam:icd:A24.0","A24.0","Glanders","urn:miriam:icd:A24","ICD-10","http://identifiers.org/icd/A24.0"
"urn:miriam:icd:A24.1","A24.1","Acute and fulminating melioidosis","urn:miriam:icd:A24","ICD-10","http://identifiers.org/icd/A24.1"
"urn:miriam:icd:A24.2","A24.2","Subacute and chronic melioidosis","urn:miriam:icd:A24","ICD-10","http://identifiers.org/icd/A24.2"
"urn:miriam:icd:A24.3","A24.3","Other melioidosis","urn:miriam:icd:A24","ICD-10","http://identifiers.org/icd/A24.3"
"urn:miriam:icd:A24.4","A24.4","Melioidosis, unspecified","urn:miriam:icd:A24","ICD-10","http://identifiers.org/icd/A24.4"
"urn:miriam:icd:A25","A25","Rat-bite fevers","urn:miriam:icd:A20-A28","ICD-10","http://identifiers.org/icd/A25"
"urn:miriam:icd:A25.0","A25.0","Spirillosis","urn:miriam:icd:A25","ICD-10","http://identifiers.org/icd/A25.0"
"urn:miriam:icd:A25.1","A25.1","Streptobacillosis","urn:miriam:icd:A25","ICD-10","http://identifiers.org/icd/A25.1"
"urn:miriam:icd:A25.9","A25.9","Rat-bite fever, unspecified","urn:miriam:icd:A25","ICD-10","http://identifiers.org/icd/A25.9"
"urn:miriam:icd:A26","A26","Erysipeloid","urn:miriam:icd:A20-A28","ICD-10","http://identifiers.org/icd/A26"
"urn:miriam:icd:A26.0","A26.0","Cutaneous erysipeloid","urn:miriam:icd:A26","ICD-10","http://identifiers.org/icd/A26.0"
"urn:miriam:icd:A26.7","A26.7","Erysipelothrix sepsis","urn:miriam:icd:A26","ICD-10","http://identifiers.org/icd/A26.7"
"urn:miriam:icd:A26.8","A26.8","Other forms of erysipeloid","urn:miriam:icd:A26","ICD-10","http://identifiers.org/icd/A26.8"
"urn:miriam:icd:A26.9","A26.9","Erysipeloid, unspecified","urn:miriam:icd:A26","ICD-10","http://identifiers.org/icd/A26.9"
"urn:miriam:icd:A27","A27","Leptospirosis","urn:miriam:icd:A20-A28","ICD-10","http://identifiers.org/icd/A27"
"urn:miriam:icd:A27.0","A27.0","Leptospirosis icterohaemorrhagica","urn:miriam:icd:A27","ICD-10","http://identifiers.org/icd/A27.0"
"urn:miriam:icd:A27.8","A27.8","Other forms of leptospirosis","urn:miriam:icd:A27","ICD-10","http://identifiers.org/icd/A27.8"
"urn:miriam:icd:A27.9","A27.9","Leptospirosis, unspecified","urn:miriam:icd:A27","ICD-10","http://identifiers.org/icd/A27.9"
"urn:miriam:icd:A28","A28","Other zoonotic bacterial diseases, not elsewhere classified","urn:miriam:icd:A20-A28","ICD-10","http://identifiers.org/icd/A28"
"urn:miriam:icd:A28.0","A28.0","Pasteurellosis","urn:miriam:icd:A28","ICD-10","http://identifiers.org/icd/A28.0"
"urn:miriam:icd:A28.1","A28.1","Cat-scratch disease","urn:miriam:icd:A28","ICD-10","http://identifiers.org/icd/A28.1"
"urn:miriam:icd:A28.2","A28.2","Extraintestinal yersiniosis","urn:miriam:icd:A28","ICD-10","http://identifiers.org/icd/A28.2"
"urn:miriam:icd:A28.8","A28.8","Other specified zoonotic bacterial diseases, not elsewhere classified","urn:miriam:icd:A28","ICD-10","http://identifiers.org/icd/A28.8"
"urn:miriam:icd:A28.9","A28.9","Zoonotic bacterial disease, unspecified","urn:miriam:icd:A28","ICD-10","http://identifiers.org/icd/A28.9"
"urn:miriam:icd:A30-A49","A30-A49","Other bacterial diseases","urn:miriam:icd:I","ICD-10",""
"urn:miriam:icd:A30","A30","Leprosy [Hansen disease]","urn:miriam:icd:A30-A49","ICD-10","http://identifiers.org/icd/A30"
"urn:miriam:icd:A30.0","A30.0","Indeterminate leprosy","urn:miriam:icd:A30","ICD-10","http://identifiers.org/icd/A30.0"
"urn:miriam:icd:A30.1","A30.1","Tuberculoid leprosy","urn:miriam:icd:A30","ICD-10","http://identifiers.org/icd/A30.1"
"urn:miriam:icd:A30.2","A30.2","Borderline tuberculoid leprosy","urn:miriam:icd:A30","ICD-10","http://identifiers.org/icd/A30.2"
"urn:miriam:icd:A30.3","A30.3","Borderline leprosy","urn:miriam:icd:A30","ICD-10","http://identifiers.org/icd/A30.3"
"urn:miriam:icd:A30.4","A30.4","Borderline lepromatous leprosy","urn:miriam:icd:A30","ICD-10","http://identifiers.org/icd/A30.4"
"urn:miriam:icd:A30.5","A30.5","Lepromatous leprosy","urn:miriam:icd:A30","ICD-10","http://identifiers.org/icd/A30.5"
"urn:miriam:icd:A30.8","A30.8","Other forms of leprosy","urn:miriam:icd:A30","ICD-10","http://identifiers.org/icd/A30.8"
"urn:miriam:icd:A30.9","A30.9","Leprosy, unspecified","urn:miriam:icd:A30","ICD-10","http://identifiers.org/icd/A30.9"
"urn:miriam:icd:A31","A31","Infection due to other mycobacteria","urn:miriam:icd:A30-A49","ICD-10","http://identifiers.org/icd/A31"
"urn:miriam:icd:A31.0","A31.0","Pulmonary mycobacterial infection","urn:miriam:icd:A31","ICD-10","http://identifiers.org/icd/A31.0"
"urn:miriam:icd:A31.1","A31.1","Cutaneous mycobacterial infection","urn:miriam:icd:A31","ICD-10","http://identifiers.org/icd/A31.1"
"urn:miriam:icd:A31.8","A31.8","Other mycobacterial infections","urn:miriam:icd:A31","ICD-10","http://identifiers.org/icd/A31.8"
"urn:miriam:icd:A31.9","A31.9","Mycobacterial infection, unspecified","urn:miriam:icd:A31","ICD-10","http://identifiers.org/icd/A31.9"
"urn:miriam:icd:A32","A32","Listeriosis","urn:miriam:icd:A30-A49","ICD-10","http://identifiers.org/icd/A32"
"urn:miriam:icd:A32.0","A32.0","Cutaneous listeriosis","urn:miriam:icd:A32","ICD-10","http://identifiers.org/icd/A32.0"
"urn:miriam:icd:A32.1","A32.1","Listerial meningitis and meningoencephalitis","urn:miriam:icd:A32","ICD-10","http://identifiers.org/icd/A32.1"
"urn:miriam:icd:A32.7","A32.7","Listerial sepsis","urn:miriam:icd:A32","ICD-10","http://identifiers.org/icd/A32.7"
"urn:miriam:icd:A32.8","A32.8","Other forms of listeriosis","urn:miriam:icd:A32","ICD-10","http://identifiers.org/icd/A32.8"
"urn:miriam:icd:A32.9","A32.9","Listeriosis, unspecified","urn:miriam:icd:A32","ICD-10","http://identifiers.org/icd/A32.9"
"urn:miriam:icd:A33","A33","Tetanus neonatorum","urn:miriam:icd:A30-A49","ICD-10","http://identifiers.org/icd/A33"
"urn:miriam:icd:A34","A34","Obstetrical tetanus","urn:miriam:icd:A30-A49","ICD-10","http://identifiers.org/icd/A34"
"urn:miriam:icd:A35","A35","Other tetanus","urn:miriam:icd:A30-A49","ICD-10","http://identifiers.org/icd/A35"
