"entity","name","label","dataType","refEntity","mappedBy","nillable","idAttribute","enumOptions","defaultValue","rangeMin","rangeMax","lookupAttribute","labelAttribute","readOnly","aggregateable","visible","unique","partOfAttribute","expression","validationExpression","tags","description","description-en","label-en","description-nl","label-nl","description-pt","label-pt","description-es","label-es","description-de","label-de","description-it","label-it","description-fr","label-fr","description-xx","label-xx"
"eu_bbmri_eric_biobanks","other_standards","Other operational standards","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","Other standards that the biobank complies with (please specify)","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","id","id","string","","","FALSE","TRUE","","","","","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","","","","","Unique collection ID within BBMRI-ERIC based on MIABIS 2.0 standard, constructed from biobankID prefix + :collection: + local collection ID string - MIABIS-2.0-01.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","country","country","categorical","eu_bbmri_eric_countries","","FALSE","FALSE","","","","","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","","","","","Country according to MIABIS 2.0 - MIABIS-2.0-07-H.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","biobank","biobank","xref","eu_bbmri_eric_biobanks","","FALSE","FALSE","","","","","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","","","","","Reference to a biobank ID, to which the collection belongs.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","collection","collection","compound","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","name","collection name","string","","","FALSE","FALSE","","","","","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","collection","","","","Collection name according to MIABIS 2.0 - MIABIS-2.0-03.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","acronym","collection acronym","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","collection","","","","Collection acronym according to MIABIS 2.0 - MIABIS-2.0-02.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","description","description","text","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","collection","","","","Collection description according to MIABIS 2.0 - MIABIS-2.0-08.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","bioresource_reference","bioresource reference","text","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","collection","","","","Bioresource reference to be cited when the bioresource (biobank/collection) is used for research.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","parent_collection","parent collection","xref","eu_bbmri_eric_collections","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","Reference to a collection ID, refers to the superior collection.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sub_collections","sub collections","one_to_many","eu_bbmri_eric_collections","parent_collection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","network","network","mref","eu_bbmri_eric_networks","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","collection","","","","Reference to a biobank network ID, to which the collection or biobank belongs; this attribute can also be used for biobank network, where it refers to the superior biobank network).","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","type","type","categorical_mref","eu_bbmri_eric_collection_types","","FALSE","FALSE","","","","","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","collection","","","","Type(s) of collection - MIABIS-2.0-19.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","data_categories","data categories","categorical_mref","eu_bbmri_eric_data_types","","FALSE","FALSE","","","","","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","collection","","","","Denotes which types of data are available (MIABIS-2.0-13).","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","standards","standards","categorical_mref","eu_bbmri_eric_lab_standards","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","collection","","","","List of standards to which the collection complies","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","order_of_magnitude","order of magnitude","categorical","eu_bbmri_eric_biobank_size","","FALSE","FALSE","","","","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","collection","","","","Size of the collection measured as 10n samples.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","size","size","int","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","collection","","","","Exact size of the collection to the given date.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","timestamp","timestamp","date_time","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","collection","","","","Date to which the size of the collection was valid, format: yyyy-mm-ddThh:mm:ss+nnnn, e.g. 2016-11-15T09:53:13+0100.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","id_card","Link to RD-Connect ID-Card","hyperlink","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","contact_information","contact information","compound","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","head_firstname","head first name","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","contact_information","","","","First name of a person in charge of the collection.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","head_lastname","head last name","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","contact_information","","","","Last name of a person in charge of the collection.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","head_role","head role","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","contact_information","","","","Official role of the person in charge of the collection: typically PI or Director.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","contact","contact","xref","eu_bbmri_eric_persons","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","Reference to a contact ID.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","contact_priority","contact priority","int","","","FALSE","FALSE","","1","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","contact_information","","","","Priority of the contact 1..n (i.e., non-negative integer), where the highest priority should be used for contacting about given set of samples. E.g., if a collection has contactPriority=3, the biobank in which the collection resides has contactPriority=10, and the biobankNetwork to which the collection or biobank belongs has contactPriority=7, the biobank contact should be used.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","latitude","latitude","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","contact_information","","","","Latitude of the biobank in the WGS84 system (the one used by GPS), positive is northern hemisphere.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","longitude","longitude","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","contact_information","","","","Longitude of the biobank in the WGS84 system (the one used by GPS), positive is to the East of Greenwich.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","donor_data","donor data","compound","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sex","sex","categorical_mref","eu_bbmri_eric_sex_types","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","donor_data","","","","The sex of the individuals in the sample collection. - MIABIS-2.0-09.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","diagnosis_available","diagnosis available","mref","eu_bbmri_eric_disease_types","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","donor_data","","","","Diagnosis available in the collection, with the ontology prefix, possibly using * and ? wildcards, and prefix notation to denote diagnosis nomenclature - so far urn:miriam:icd: prefix for ICD-10, and urn:miriam:snomedct: prefix for SNOMED CT (examples being urn:miriam:icd:C*, urn:miriam:snomedct:25*) - MIABIS-2.0-17, adapted.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","age_low","age low","int","","","TRUE","FALSE","","","0","120","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","donor_data","","","","Age of youngest sample donor at time of sample donation - MIABIS-2.0-10.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","age_high","age high","int","","","TRUE","FALSE","","","0","120","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","donor_data","","","","Age of oldest sample donor at time of sample donation - MIABIS-2.0-11.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","age_unit","age unit","categorical_mref","eu_bbmri_eric_age_units","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","donor_data","","","","Unit defining Age Low and Age High. Can be one of the following values: years, months, weeks, days - MIABIS-2.0-08.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","imaging_data","imaging data","compound","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","body_part_examined","body part examined","mref","eu_bbmri_eric_body_parts","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","imaging_data","","","","The examined body part(s).","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","imaging_modality","imaging modality","mref","eu_bbmri_eric_imaging_modality","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","imaging_data","","","","The imaging modality/modalities.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","image_dataset_type","image dataset type","mref","eu_bbmri_eric_image_data_types","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","imaging_data","","","","Type(s) of the imaging dataset.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sample_data","sample data","compound","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","materials","materials","categorical_mref","eu_bbmri_eric_material_types","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","sample_data","","","","Collection contains material(s) of this/these type(s) (MIABIS-2.0-14).","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","storage_temperatures","storage temperatures","categorical_mref","eu_bbmri_eric_temp_types","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","sample_data","","","","Sample storage temperature(s) - SPREC 2.0 (MIABIS-2.0-15).","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","access_policy","access policy","compound","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sample_access_fee","sample access fee","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","access_policy","","","","Denotes whether access to samples may be obtained on fee-based basis.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sample_access_joint_project","sample access joint project","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","access_policy","","","","Denotes whether access to samples may be obtained on joint project basis.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sample_access_description","sample access description","text","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","access_policy","","","","Short description of access rules.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sample_access_uri","sample access uri","hyperlink","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","access_policy","","","","URI describing access policy for the samples.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","data_access_fee","data access fee","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","access_policy","","","","Denotes whether access to data may be obtained on fee-based basis.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","data_access_joint_project","data access joint project","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","access_policy","","","","Denotes whether access to data may be obtained on joint project basis.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","data_access_description","data access description","text","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","access_policy","","","","Short description of access rules.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","data_access_uri","data access uri","hyperlink","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","access_policy","","","","URI describing access policy for the data.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","image_access_fee","image access fee","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","access_policy","","","","Denotes whether access to images may be obtained on fee-based basis.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","image_joint_projects","image joint projects","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","access_policy","","","","Denotes whether access to images may be obtained on joint project basis.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","image_access_description","image access description","text","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","access_policy","","","","Short description of access rules.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","image_access_uri","image access uri","hyperlink","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","access_policy","","","","URI describing access policy for the images.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","collaboration_commercial","collaboration commercial","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","access_policy","","","","Biobank/collection can be used for collaboration with commercial partners.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","collaboration_non_for_profit","collaboration non for profit","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","access_policy","","","","Biobank/collection can be used for collaboration with non-for-profit partners.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sample_mgmt","sample management","compound","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sample_processing_sop","Sample processing PD/SOP","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","sample_mgmt","","","","Availability of Process Descriptions (PD) and/or Standard Operating Procedures (SOPs) addressing the sample collection and processing","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sample_transport_sop","Sample transport PD/SOP","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","sample_mgmt","","","","Availability of Process Descriptions (PD) and/or Standard Operating Procedures (SOPs) addressing the sample transport process","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","sample_storage_sop","Sample storage PD/SOP","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","sample_mgmt","","","","Availability of Process Descriptions (PD) and/or Standard Operating Procedures (SOPs) addressing sample storage conditions","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","data_mgmt","data management","compound","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","data_processing_sop","Data processing PD/SOP","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","data_mgmt","","","","Availability of Process Descriptions (PD) and/or Standard Operating Procedures (SOPs) for long term data storage and backup.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","data_transport_sop","Data transport PD/SOP","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","data_mgmt","","","","Availability of Process Descriptions (PD) and/or Standard Operating Procedures (SOPs) for data security","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_collections","data_storage_sop","Data storage PD/SOP","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","data_mgmt","","","","Availability of Process Descriptions (PD) and/or Standard Operating Procedures (SOPs) for data protection","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_countries","id","id","string","","","FALSE","TRUE","","","","","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","","","","","Unique ID.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_countries","name","name","string","","","FALSE","FALSE","","","","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","","","","","Country hosting the biobank according to MIABIS 2.0 - MIABIS-2.0-06.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_disease_types","id","id","string","","","false","true","","","","","true","true","true","false","true","true","","","","","Unique ID.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_disease_types","code","code","string","","","true","false","","","","","true","false","false","false","true","false","","","","","Term in the ontology.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_disease_types","label","label","string","","","true","false","","","","","true","false","false","false","true","false","","","","","Term in the ontology.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_disease_types","ontology","ontology","string","","","true","false","","","","","false","false","false","false","true","false","","","","","Name of the ontology used (including version if applicable).","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_disease_types","uri","uri","hyperlink","","","true","false","","","","","false","false","false","false","true","false","","","","","Code for the term as a linked data URI.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_disease_types","description","description","text","","","true","false","","","","","false","false","false","false","true","false","","","","","Description.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_disease_types","parentId","parent ID","xref","eu_bbmri_eric_disease_types","","true","false","","","","","false","false","false","false","true","false","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_disease_types","children","children","one_to_many","eu_bbmri_eric_disease_types","parentId","true","false","","","","","false","false","false","false","true","false","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_networks","id","id","string","","","FALSE","TRUE","","","","","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","","","","","Unique ID of a biobank network within BBMRI-ERIC based on MIABIS 2.0 standard (ISO 3166-1 alpha-2 +underscore + biobank national ID or name), prefixed with bbmri-eric:networkID: string; if biobank network is on European or higher level, EU_ prefix is to be used instead of country prefix.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_networks","name","name","string","","","FALSE","FALSE","","","","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","","","","","Biobank network name.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_networks","acronym","acronym","string","","","TRUE","FALSE","","","","","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Biobank network acronym.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_networks","description","description","text","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Biobank network description.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_networks","common_collection_focus","common collection focus","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","All the biobanks/collections in the network share the same focus with which the samples are collected (e.g., disease specific). Further details of the focus should be provided in the biobankNetworkDescription attribute.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_networks","common_charter","common charter","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","All the biobanks/collections in the network have to have a network charter signed.","","","","","","","","","","","","","","","",""
