name,label,description,mandatory,format,codeList,topic,population,collectionEvent
armlength,Child's arm length (0 and <1 month),,false,continuous,,,,month
armlengthage,Age at arm length measurement (0 and <1 month),,false,continuous,,,,month
armlengthmes,Measured vs. reported child arm length (0 and <1 month),,false,boolean,,,,month
art,Assisted reproductive treatment,"Did the mother become pregnant using ART?

ART refers to treatments used to assist people in achieving a pregnancy",false,boolean,,,,baseline
asd_age,exact age of the child (in years) when ASD were recorded for asd_raw_0,Calculate age in years as (date of test assessment - date of birth)/365.2422,false,continuous,,aaaac3pyuvqcj6qwhza7xqiaae,,year
asd_avg,average of available items comprising the total raw score of  asd_raw_0,,false,continuous,,aaaac3pyuvqcj6qwhza7xqiaae,,year
asd_eval,who the test for measuring ASD was administered/answered by for asd_raw_0,“computerized” (value label 4) only applies if the child perform the test with automatic results. Any computerized rating scale or questionnaire does not apply.,false,categorical,asd_eval_options,aaaac3pyuvqcj6qwhza7xqiaae,,year
asd_instr,Cohort-specific instrument used to measure the ASD for asd_raw_0,,false,categorical,asd_instr_options,aaaac3pyuvqcj6qwhza7xqiaae,,year
asd_pc,"ASD, percentiles of asd_pro_0",,false,continuous,,aaaac3pyuvqcj6qwhza7xqiaae,,year
asd_pro,total ASD score after prorating asd_raw_0,,false,continuous,,aaaac3pyuvqcj6qwhza7xqiaae,,year
asdR,ASD diagnosis assessed within one year of childbirth (>0 year and <1 year),,false,boolean,,aaaac3pyuxgv56qwhza7xqiaae,,year
asdR_age,exact age of the child (in years) at onset for ASD diagnosis for asdR_0,"If the onset age is not known please use the follow-up age.

The variable is partially harmonized if using age of the child at follow-up as age of onset.",false,continuous,,aaaac3pyuxgv56qwhza7xqiaae,,year
asd_raw,"ASD, total raw score assessed within one year of childbirth (>0 year and <1 year)","The variable is fully harmonized if the score is based on all required items of the respective instrument. In case of score calculated using a short form of the test, please inform about it (including the items used) and categorize it as partially harmonized",false,continuous,,aaaac3pyuvqcj6qwhza7xqiaae,,year
asdR_eval,how was the medical diagnosis reported for asdR_0,,false,boolean,,aaaac3pyuxgv56qwhza7xqiaae,,year
asthma,diagnosis of asthma within one year of birth (child aged between >-1 year and <1 year),"Where data are available, asthma should be obtained by ISAAC questionnaires. If this is not the case, the variabele is partially harmonized.",false,boolean,,child_healthchar_resp_asthma_Asthma,,year
Asthma_adult,Ever diagnosis of asthma in adulthood based on physician diagnosis,"Where data are available, asthma should be doctor diagnosed. If no information is available on doctor diagnosis, the variable is partially harmonised.",false,boolean,,child_adulthealthchar_resp,,baseline
asthma_bf,Paternal history of asthma (biological father),"State in harmonisation description whether the type of father was specified at time of data collection (i.e. whether these data definitely relate to the biological and not the social father)

Where data are available, asthma should be doctor diagnosed. If no information is available on doctor diagnosis, the variable is partially harmonised.
Fathers who were asked whether their asthma was diagnosed by a doctor but who did not know or were unsure, should be coded as missing.",false,boolean,,aaaacyy22ey536qwh3nxvnaaae,,baseline
asthma_current_ISAAC,Current asthma  (ISAAC),"1, and (2 or 3)
1. Doctor diagnosed asthma
2. Wheezing in the past 12 months
3. Use of asthma medication in the past 12 months",false,boolean,,child_healthchar_resp_asthma_isaac,,year
asthma_current_MeDALL,Current asthma (MeDALL),"2 out of 3 of: 
1. Doctor diagnosed asthma
2. Wheezing in the past 12 months
3. Use of asthma medication in the past 12 months",false,boolean,,child_healthchar_resp_asthma_medall,,year
asthma_ever_CHICOS,School age asthma according to CHICOS definition,"Asthma diagnosis at the age of ≥5 years. Where data are available, asthma should be obtained by ISAAC questionnaires. If this is not the case, the variabele is partially harmonized",false,boolean,,child_healthchar_resp_asthma_chicos,,baseline
asthma_ever_MeDALL,Ever diagnosis of asthma according to MeDALL definition,"Ever diagnosis of asthma. Where data are available, asthma should be obtained by ISAAC questionnaires. If this is not the case, the variabele is partially harmonized",false,boolean,,child_healthchar_resp_asthma_medall,,baseline
asthma_m,Maternal history of asthma before pregnancy,"Where data are available, asthma should be doctor diagnosed. If no information is available on doctor diagnosis, the variable is partially harmonised.",false,boolean,,aaaacyy2yydqt6qwh3nxvnaaae,,baseline
asthma_med,use of asthma medication within one year of birth (child aged between >-1 year and <1 year),,false,boolean,,child_healthchar_resp_asthma_med,,year
asthma_med_spec,"use of asthma medication, type specified, within one year of birth (child aged between >-1 year and <1 year)",,false,categorical,asthma_med_spec_options,child_healthchar_resp_asthma_med,,year
bdens100,building density within a buffer of 100 m at birth,using European Settlement Map 2017 except for MOBA (Open Street Maps),false,continuous,,sub_sub_folder_24,,year
bdens100_preg,building density within a buffer of 100 m at pregnancy,using European Settlement Map 2017 except for MOBA (Open Street Maps),false,continuous,,sub_sub_folder_24,,baseline
bdens300,building density within a buffer of 300 m at birth,using European Settlement Map 2017 except for MOBA (Open Street Maps),false,continuous,,sub_sub_folder_25,,year
bdens300_preg,building density within a buffer of 300 m at pregnancy,using European Settlement Map 2017 except for MOBA (Open Street Maps),false,continuous,,sub_sub_folder_25,,baseline
BHR,"Bronchial hyperresponsiveness, as measured by metacholine challenge test, within one year of birth (child aged between >-1 year and <1 year)",Bronchial hyperresponsiveness is defined as a decrease in FEV1 of ≥20% after the administration of methacholine.,false,boolean,,child_healthchar_resp_lungfunc_spirometry_bronchhr,,year
bicepsf,Child's bicep skinfold (0 and <1 month),,false,continuous,,,,month
bicepsfage,Age at bicep skinfold measurement (0 and <1 month),,false,continuous,,,,month
bicepsfmes,Measured vs. reported child bicep skinfold (0 and <1 month),,false,boolean,,,,month
bio,Child's body fat % from bioimpedance (0 and <1 month),,false,continuous,,,,month
bioage,Age at bioimpedance measurement (0 and <1 month),,false,continuous,,,,month
biomes,Device used to measure bioimpedance (0 and <1 month),,false,boolean,,,,month
birth_head_circum,Circumference of the head at birth,,false,continuous,,aaaaczock7g5v6qwhycgrlaaae,,baseline
birth_length,Length of the child at birth,,false,continuous,,aaaaczock6baf6qwhycgrlaaae,,baseline
birth_month,Birth month of the index child,,false,integer,,aaaaczocjrcav6qwhycgrlaaae,,baseline
birth_weight,Weight of the child at birth,,false,continuous,,aaaaczockliiz6qwhycgrlaaae,,baseline
birth_year,Birth year of the index child,,false,integer,,aaaaczocjrcav6qwhycgrlaaae,,baseline
blue_dist,"straight line distance to nearest blue space > 5,000 m2 at birth",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_60,,year
blue_dist_preg,"straight line distance to nearest blue space > 5,000 m2 at pregnancy",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_60,,baseline
blue_size,"area of closest blue space > 5,000m2 at birth",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_62,,year
blue_size_preg,"area of closest blue space > 5,000m2 at pregnancy",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_62,,baseline
blueyn300,"is there a blue space  > 5,000 m2 in a distance of 300 m? at birth",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,boolean,,sub_sub_folder_64,,year
blueyn300_preg,"is there a blue space  > 5,000 m2 in a distance of 300 m? at pregnancy",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,boolean,,sub_sub_folder_64,,baseline
bn_m,Maternal bulimia nervosa active active from ≥0 to 1 year.,"Maternal bulimia nervosa active active from ≥0 to 1 year: self-reported or registry-based. If both sources of information are available, consider registry-based BN.
Partial harmonization includes:
- Standardized questionnaires/criteria that refer to the period after pregnancy;
- Maternal report of BN active after pregnancy with no specification on whether it is doctor-diagnosed or not.
Please, specify how this variable was created, and whether BN was assessed through medical records or self-reported.",false,boolean,,matchar_healthchar_matpsychdis_bn,,year
bpage,Age at peripheral blood pressure measurement (0 and <1 month),,false,continuous,,,,month
breastfed_any,Total duration of any breastfeeding,"Total duration of any breastfeeding (in the index child), in months.
Upper limit of 12 months; durations greater than 12 months assigned the value 12 months. Children never breastfed will have a duration of 0 months",false,continuous,,aaaacyy22p2fn6qwh3nxvnaaae,,baseline
breastfed_ever,Child ever breast fed,,false,boolean,,aaaacyy22p2fn6qwh3nxvnaaae,,baseline
breastfed_excl,Total duration of exclusive breastfeeding,"Total duration of exclusive breastfeeding (in the index child), in months.
Upper limit of 6 months; durations greater than 6 months assigned the value 6 months. Children never breastfed will have a duration of 0 months",false,continuous,,aaaacyy22p2fn6qwh3nxvnaaae,,baseline
bus_lines_100,length of public bus lines within a buffer of 100 m at birth,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_28,,year
bus_lines_100_preg,length of public bus lines within a buffer of 100 m at pregnancy,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_28,,baseline
bus_lines_300,length of public bus lines within a buffer of 300 m at birth,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_29,,year
bus_lines_300_preg,length of public bus lines within a buffer of 300 m at pregnancy,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_29,,baseline
bus_lines_500,length of public bus lines within a buffer of 500 m at birth,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_30,,year
bus_lines_500_preg,length of public bus lines within a buffer of 500 m at pregnancy,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_30,,baseline
bus_stops_100,number of public bus stops within a buffer of 100 m at birth,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_31,,year
bus_stops_100_preg,number of public bus stops within a buffer of 100 m at pregnancy,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_31,,baseline
bus_stops_300,number of public bus stops within a buffer of 100 m at birth,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_32,,year
bus_stops_300_preg,number of public bus stops within a buffer of 100 m at pregnancy,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_32,,baseline
bus_stops_500,number of public bus stops within a buffer of 500 m at birth,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_33,,year
bus_stops_500_preg,number of public bus stops within a buffer of 500 m at pregnancy,using a different local layer or open street maps for each cohort,false,continuous,,sub_sub_folder_33,,baseline
cats,Cat ownership (≥0 to <1year),Cat ownership in child's household from 0 to <1 year,false,boolean,,aaaac4b5pvo7j6qwhza7xqiaae,,year
cats_preg,Cat ownership in pregnancy,Cat ownership in household during pregnancy,false,boolean,,aaaac4b5pvo7j6qwhza7xqiaae,,baseline
cats_quant,Number of cats owned (≥0 to <1year),"Number of cats owned in child's household from 0 to <1 year

If no cats are owned, value=0",false,integer,,aaaac4b5qh37j6qwhza7xqiaae,,year
cats_quant_preg,Number of cats owned in pregnancy,"Number of cats owned in household during pregnancy

If no cats are owned, value=0",false,integer,,aaaac4b5qh37j6qwhza7xqiaae,,baseline
cbpage,Age at central (i.e. aortic) blood pressure measurement (0 and <1 month),,false,continuous,,,,month
cbpsit,Standing or sitting when central (i.e. aortic) blood pressure measured (0 and <1 month),,false,boolean,,,,month
cdbp,Child's central (i.e. aortic) diastolic blood pressure (0 and <1 month),,false,continuous,,,,month
cer_palsy,Any subtype of cerebral palsy,,false,boolean,,aaaaczoclgvkr6qwhycgrlaaae,,baseline
cfpwv,Child's carotid-femoral pulse wave velocity (0 and <1 month),,false,continuous,,,,month
cfpwvage,Age at carotid-femoral pulse wave velocity measurement (0 and <1 month),,false,continuous,,,,month
childcare,Child cared for by care givers other than parents (age ≥0 and <1 year),Child is cared for by other care givers other than the parents of the child within 1st year of life (age range ≥0 and <1 year),false,boolean,,aaaacyy22rlmt6qwh3nxvnaaae,,year
childcarecentre,Child attending a day care centre (age ≥0 and <1 year),Child attending a day care centre within the first year of life (age range ≥0 and <1 year),false,boolean,,aaaacyy22rlmt6qwh3nxvnaaae,,year
childcare_intro,Age child started in child care,,false,continuous,,aaaacyy22rlmt6qwh3nxvnaaae,,baseline
childcareprof,Child cared for by a child care professional (age ≥0 and <1 year),Child cared for by a professional child minder within 1st year of life (age range ≥0 and <1 year),false,boolean,,aaaacyy22rlmt6qwh3nxvnaaae,,year
childcarerel,Child cared for by relatives/friends/nanny/babysitter/au pair (age ≥0 and <1 year),"Child cared for by relatives, friends, nanny, babysitter or au pair within 1st year of life (age range ≥0 and <1 year)",false,boolean,,aaaacyy22rlmt6qwh3nxvnaaae,,year
child_id,Unique identifier number for the index child,either original id or new id generated by the cohort,false,integer,,aaaacyy2ws4556qwh3nxvnaaae,,baseline
child_no,Within pregnancy birth order,"For single child pregnancies, assign ‘1’ to the child. For multiple child pregnancies, each child is numbered in the order that they were born (i.e. the first-born child from a multiple pregnancy is assigned the number ‘1’, the second-born child is assigned the number ‘2’, etc..)

Each child must be assigned a child number >=1, which is unique within a pregnancy. This includes pregnancies that resulted in a spontaneous abortion, induced abortion or other birth outcome where the birth order may not have been defined.",false,integer,,aaaaczodv5btb6qwhycgrlaaae,,baseline
chol,Child's total cholesterol (0 and <1 month),,false,continuous,,,,month
cholage,Age at total cholesterol measurement (0 and <1 month),,false,continuous,,,,month
chol_cord,total cholesterol measured in cord blood,,false,continuous,,,,baseline
cholmes,Nonfasting or fasting when total cholesterol measured (0 and <1 month),,false,boolean,,,,month
cimt,Child's carotid intima-media thickness (0 and <1 month),,false,continuous,,,,month
cimtage,Age at carotid intima-media thickness measurement (0 and <1 month),,false,continuous,,,,month
cimtmes,Measured vs. reported child waist circumference (0 and <1 month),,false,boolean,,,,month
cob_m,Maternal country of birth,"A list of EU member states is provided in Annex I of the following EUSILC document:
(https://circabc.europa.eu/sd/a/e9a5d1ad-f5c7-4b80-bdc9-1ce34ec828eb/DOCSILC065%20operation%202018_V5.pdf
For French cohorts, mothers born in French overseas departments and territories should be coded as “0” (born in country of cohort).",false,categorical,cob_m_options,aaaaczocdikup6qwhycgrlaaae,,baseline
cob_p,Paternal country of birth,"A list of EU member states is provided in Annex I of the following EUSILC document:
(https://circabc.europa.eu/sd/a/e9a5d1ad-f5c7-4b80-bdc9-1ce34ec828eb/DOCSILC065%20operation%202018_V5.pdf
For French cohorts, fathers born in French overseas departments and territories should be coded as “0” (born in country of cohort)",false,categorical,cob_p_options,aaaaczochh3bp6qwhycgrlaaae,,baseline
cob_p_fath,"Type of father, paternal country of birth","Variable indicating whether country of birth recorded in variable cob_p is for the biological father, the social father/mother or whether this is unknown",false,categorical,cob_p_fath_options,aaaaczochh3bp6qwhycgrlaaae,,baseline
cohab,Cohabitation status of the mother (age ≥0 year and <1 year),"Cohabitation status of the mother: are her and her partner living together as a couple?

""Mother's partner"" can be the biological partner, a new patner or a partner of the same gender. 

cohab_0: at birth or as near to birth as possible and within one year of birth.",false,boolean,,aaaacyxwwccfp6qwh3nxvnaaae,,year
coh_country,Country of the cohort,Based on ISO 3166 numeric country codes,false,categorical,coh_country_options,aaaacyy2wy7lz6qwh3nxvnaaae,,baseline
cohort_id,Unique identifier number for the cohort,,false,categorical,cohort_id_options,aaaacyy2wxhyh6qwh3nxvnaaae,,baseline
con_anomalies,Any congenital malformation,Diagnosed within the 1st year of life,false,boolean,,aaaaczoclfi7h6qwhycgrlaaae,,baseline
connind100,connectivity density within a buffer of 100 m at birth,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_26,,year
connind100_preg,connectivity density within a buffer of 100 m at pregnancy,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_26,,baseline
connind300,connectivity density within a buffer of 300 m at birth,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_27,,year
connind300_preg,connectivity density within a buffer of 300 m at pregnancy,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_27,,baseline
COPD_adult_diagnosis,Ever diagnosis of COPD in adulthood based on physician diagnosis,"Where data are available, COPD should be doctor diagnosed. If no information is available on doctor diagnosis, the variable is partially harmonised.",false,boolean,,child_adulthealthchar_resp,,baseline
COPD_adult_GOLD,Ever diagnosis of COPD in adulthood based on GOLD criteria,COPD defined according to the GOLD criteria encompasses an obstructive pre-bronchodilator spirometry (FEV1/FVC < 0.70),false,boolean,,child_adulthealthchar_resp,,baseline
COPD_adult_LLN,Ever diagnosis of COPD in adulthood based on lower limit of normal (LLN),"COPD defined according to the lower limit of normal (LLN), as described in J.L. Hankinson et al, Am J Respir Crit Care Med, 1999.",false,boolean,,child_adulthealthchar_resp,,baseline
crp,Child's CRP (0 and <1 month),,false,continuous,,,,month
crpage,Age at CRP measurement (0 and <1 month),,false,continuous,,,,month
crp_cord,CRP measured in cord blood,,false,continuous,,,,baseline
crpmes,Nonfasting or fasting when CRP measured (0 and <1 month),,false,boolean,,,,month
crpwv,Child's carotid-radial pulse wave velocity (0 and <1 month),,false,continuous,,,,month
crpwvage,Age at carotid-radial pulse wave velocity measurement (0 and <1 month),,false,continuous,,,,month
csbp,Child's central (i.e. aortic) systolic blood pressure (0 and <1 month),,false,continuous,,,,month
dairy_pgn,Milk and milk products during pregnancy,Based on Eurocode 2 Food Coding System,false,continuous,,aaaac4cyara376qwhza7xqiaae,,baseline
dairy_psc,Milk and milk products in  preschool age (2-4 years),,false,continuous,,aaaac4cyeeamt6qwhza7xqiaam,,baseline
dairy_sch,Milk and milk products in school-age children (5-8 years),,false,continuous,,aaaac4cyeuhdp6qwhza7xqiaae,,baseline
dash_pgn,Fung's DASH diet index in pregnancy,,false,integer,,aaaac4cyatw2x6qwhza7xqiaai,,baseline
dash_sch,Fung's DASH diet index in school-aged children (5-8 years),,false,integer,,aaaac4cyexglz6qwhza7xqiaai,,baseline
dbp,Child's diastolic blood pressure - 1st measurement (0 and <1 month),,false,continuous,,,,month
dbpav,Child's diastolic blood pressure - average (0 and <1 month),,false,continuous,,,,month
death_child,Indicator variable for death of the child,,false,boolean,,aaaaczock67jh6qwhycgrlaaae,,baseline
death_child_age,Age of death of the child,Number of days alive indicating date of death in days. Only relevant for deceased children,false,integer,,aaaaczock67jh6qwhycgrlaaae,,baseline
death_m,Maternal death,Indicator variable for death of the child's mother,false,boolean,,aaaacyy2zapz76qwh3nxvnaaae,,baseline
death_m_age,Age of the child at the time of mother's death,,false,integer,,aaaacyy2zapz76qwh3nxvnaaae,,baseline
death_p,Paternal death,Indicator variable for death of the child's father,false,boolean,,aaaacyy2z5qpv6qwh3nxvnaaae,,baseline
death_p_age,Age of the child at the time of father's death,,false,integer,,aaaacyy2z5qpv6qwh3nxvnaaae,,baseline
death_p_fath,"Type of father, paternal death","Variable indicating whether the paternal death recorded in variable death_p, is the death of the biological father, a social father/mother or whether this is unknown",false,categorical,death_p_fath_options,aaaacyy2z5qpv6qwh3nxvnaaae,,baseline
dia_bf,Diabetes diagnosis (biological father),State in harmonisation description whether the type of father was specified at time of data collection (i.e. whether these data definitely relate to the biological and not the social father),false,categorical,dia_bf_options,aaaacyy22d7ud6qwh3nxvnaaae,,baseline
dietage_psc,Exact age at dietary assessment in preschool age (2-4 years),,false,continuous,,aaaac4cyedlqt6qwhza7xqiaae,,baseline
dietage_sch,Exact age at dietary assessment of  school-age children,,false,continuous,,aaaac4cyetswx6qwhza7xqiaae,,baseline
dietass_pgn,Method of dietary assessment in pregnancy,,false,categorical,dietass_pgn_options,aaaac4cyaophz6qwhza7xqiaae,,baseline
dietass_psc,Method of dietary assessment in preschool age (age 2-4),,false,categorical,dietass_psc_options,aaaac4cyecpgp6qwhza7xqiaae,,baseline
dietass_sch,Method of dietary assessment in school-age children (5-8 years),,false,categorical,dietass_sch_options,aaaac4cyes5vb6qwhza7xqiaae,,baseline
dietga_pgn,Gestational week at dietary assessment,,false,continuous,,aaaac4cyap2ax6qwhza7xqiaae,,baseline
distinvnear1,inverse distance to nearest road at birth,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_73,,year
distinvnear1_preg,inverse distance to nearest road at pregnancy,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_73,,baseline
dogs,Dog ownership (≥0 to <1year),Dog ownership in child's household from 0 to <1 year,false,boolean,,aaaac4b5qxlmb6qwhza7xqiaae,,year
dogs_preg,Dog ownership in pregnancy,Dog ownership in household during pregnancy,false,boolean,,aaaac4b5qxlmb6qwhza7xqiaae,,baseline
dogs_quant,Number of dogs owned (≥0 to <1year),"Number of dogs owned in child's household from 0 to <1 year

If no dogs are owned, value=0",false,integer,,aaaac4b5rhofr6qwhza7xqiaae,,year
dogs_quant_preg,Number of dogs owned in pregnancy,"Number of dogs owned in household during pregnancy

If no dogs are owned, value=0",false,integer,,aaaac4b5rhofr6qwhza7xqiaae,,baseline
dominant_armc,Arm circumference measured in dominant or non-dominant arm (0 and <1 month),,false,boolean,,,,month
dxafm,Child's whole-body DXA fat mass (0 and <1 month),,false,continuous,,,,month
